CANONICAL_SMILES CMPD_CHEMBLID PCHEMBL_VALUE ASSAY_CHEMBLID ASSAY_TYPE PREF_NAME JOURNAL_YEAR_VOLUME_ISSUE_FIRST_PAGE
Clc1cnc(Oc2cccc(c2)C(=O)NCCN3CCCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924007 7.1 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(F)c(Cl)c6 CHEMBL3650365 6.95 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 6.76 CHEMBL651927 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4 CHEMBL41275 6.74 CHEMBL651925 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cccc(c6)C(F)(F)F CHEMBL3650363 6.68 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Oc1ccc2[nH]cc(C3C[C@H]4CC[C@@H](C3)N4CCCCCNC(=O)\C=C\c5ccc(Cl)c(Cl)c5)c2c1 CHEMBL305470 6.6 CHEMBL655699 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
CN(Cc1ccc(NC(=O)C2=Cc3cc(ccc3CCC2)c4ccc(C)cc4)cc1)C5CCOCC5 CHEMBL131243 6.52 CHEMBL651924 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Brc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL297033 6.46 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
OC(=O)c1ccccc1Oc2ccccc2NS(=O)(=O)c3ccc(Cl)cc3 CHEMBL1171758 6.4 CHEMBL1174376 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CN1CCCC(CN2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3)C1 CHEMBL2036748 6.4 CHEMBL2038471 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_12_3895
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 6.35 CHEMBL651926 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Ic1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL299322 6.34 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 6.28 CHEMBL651928 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Clc1ccc(\C=C\C(=O)N[C@@H]2CC[C@@H](CN3CCC(CC3)c4c[nH]c5ccccc45)CC2)cc1Cl CHEMBL71297 6.2 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1ccc(\C=C\C(=O)NCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL51094 6.18 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Cc1cccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)c1 CHEMBL53991 6.1 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
OC(=O)c1ccccc1Oc2nccnc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL1171398 6.1 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C CHEMBL193 6.07 CHEMBL1909124 B C-C:chemokine:receptor:type:2 
CCN(CC)C(=S)SSC(=S)N(CC)CC CHEMBL964 6.02 CHEMBL1909124 B C-C:chemokine:receptor:type:2 
Clc1ccc(Cn2ccnn2)c(NS(=O)(=O)c3ccccc3)c1 CHEMBL2207086 5.9 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Clc1cnc(Oc2cccc(c2)C(=O)NCCN3CCCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924007 5.9 CHEMBL1925745 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Clc1ccc(NC(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL300025 5.8 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
CCCCc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL252186 5.76 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 5.68 CHEMBL651925 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3 CHEMBL633 5.37 CHEMBL1909124 B C-C:chemokine:receptor:type:2 
Clc1ccccc1\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34 CHEMBL53930 5.36 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1ccccc1\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34 CHEMBL53930 5.35 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1ccc(CCC(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL300744 5.23 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
OC(=O)c1ccccc1Oc2c(F)cc(cc2NS(=O)(=O)c3ccc(Cl)cc3)C(F)(F)F CHEMBL1171006 4.9 CHEMBL1174377 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
Cc1onc(c1)c2nc(NC[C@H]3CCC[C@H](O3)c4ccc(cc4)C(F)(F)F)c(C)c(n2)C(=O)N5CCC(CC5)N[C@@H]6CCOC[C@@H]6F CHEMBL2338393 9 CHEMBL2344607 B C-C:chemokine:receptor:type:2 ACS_Med._Chem._Lett._2013_4_4_371
FC(F)(F)c1cc(ccc1Cl)S(=O)(=O)Nc2cc(Cl)ccc2Oc3ccc(cc3)C(=O)NCCN4CCCC4 CHEMBL1924017 8.7 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3cc(Br)ccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417118 8.64 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3cc(I)ccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417119 8.36 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
Clc1ccc(Cn2ccnn2)c(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)c1 CHEMBL2207081 8 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
COc1cc(Oc2ccc(cc2)C(=O)NCCN3CCCCC3)c(NS(=O)(=O)c4ccc(Cl)c(c4)C(F)(F)F)cc1Cl CHEMBL1924016 8 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
C[C@@H]1COCC[C@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccn6)C(F)(F)F CHEMBL3650408 7.92 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Clc1cnc(Oc2ccc(cc2)C(=O)NCCN3CCCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924004 7.7 CHEMBL1925745 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4 CHEMBL41275 7.56 CHEMBL875065 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
CO[C@@H]1COCC[C@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(cnn6)C(F)(F)F CHEMBL3650351 7.55 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3c(C)cccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417112 7.51 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 7.3 CHEMBL655704 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
Clc1cnc(Oc2ccc(cc2)C(=O)NCCN3CCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924005 7.2 CHEMBL1925745 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(Cl)c(c6)C#N CHEMBL3650392 7.11 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Oc1ccc2[nH]cc(C3CCN(C[C@@H]4CC[C@@H](CC4)NC(=O)\C=C\c5ccc(Cl)c(Cl)c5)CC3)c2c1 CHEMBL400698 7.1 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1ccc(Cn2ccnn2)c(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)c1 CHEMBL2207081 7 CHEMBL2213075 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Fc1cccc(c1)S(=O)(=O)Nc2cc(Cl)ccc2Cn3ccnn3 CHEMBL2207090 7 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4 CHEMBL41275 6.98 CHEMBL651931 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cccc(n6)C(F)(F)F CHEMBL3650367 6.92 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Clc1ccc(\C=C\C(=O)N[C@@H]2CC[C@H](CN3CCC(CC3)c4c[nH]c5ccccc45)CC2)cc1Cl CHEMBL399472 6.9 CHEMBL655699 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 6.89 CHEMBL651928 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 6.77 CHEMBL651927 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Cc1[nH]c2ccc(O)cc2c1C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3 CHEMBL300455 6.63 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6nccc(n6)C(F)(F)F CHEMBL3650357 6.58 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Oc1ccc2[nH]cc(C3CCN(C[C@@H]4CC[C@H](CC4)NC(=O)\C=C\c5ccc(Cl)c(Cl)c5)CC3)c2c1 CHEMBL253424 6.5 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Brc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL297033 6.45 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
OC(=O)c1ccccc1Oc2ncncc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL1170799 6.4 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
Ic1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL299322 6.34 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Cc1ccc(cc1C)S(=O)(=O)Nc2cc(Cl)ccc2Cn3ccnn3 CHEMBL2207089 6.3 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Clc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL299855 6.28 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1cccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)c1 CHEMBL53476 6.25 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ncn6)C(F)(F)F CHEMBL3650358 6.23 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Oc1ccc2[nH]cc(C3C[C@H]4CC[C@@H](C3)N4CCCCCNC(=O)\C=C\c5ccc(Cl)c(Cl)c5)c2c1 CHEMBL305470 6.2 CHEMBL655698 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2001_11_16_2177
Clc1ccc(\C=C\C(=O)NCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL51094 6.18 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
CN(Cc1ccc(NC(=O)C2=Cc3cc(ccc3CCC2)c4ccc(C)cc4)cc1)C5CCOCC5 CHEMBL131243 6.12 CHEMBL651930 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 5.61 CHEMBL651933 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 5.6 CHEMBL651924 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Clc1ccc(CC(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL53779 5.36 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
O=C(NCCCCCN1CCC(CC1)c2c[nH]c3ccccc23)c4ccc(cc4)c5ccccc5 CHEMBL53819 5.28 CHEMBL655689 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
Clc1ccc(CCC(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL300744 5.23 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3ccccc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417111 8.66 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
[Cl-].Cc1ccc(cc1)c2ccc3CCCC(=Cc3c2)C(=O)Nc4ccc(C[N+](C)(C)C5CCOCC5)cc4 CHEMBL41275 8.58 CHEMBL651926 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
COc1cc(ccc1Oc2ccc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(c3)C(F)(F)F)C(=O)NCCN4CCCC4 CHEMBL1924024 8.22 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3cc(ccc23)c4cccnc4)C(=O)N5CCc6ccc(cc6C5)C(F)(F)F CHEMBL3417225 8 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
Cc1ncccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL1170725 8 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Clc1ccc(Cn2cnnc2)c(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)c1 CHEMBL2207082 8 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Clc1ccc(s1)S(=O)(=O)Nc2cc(Cl)c(Cl)cc2Cn3ccnn3 CHEMBL2207100 7.9 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Clc1cnc(Oc2ccc(cc2)C(=O)NCCN3CCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924005 7.89 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
CC[C@@H]1COCC[C@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccn6)C(F)(F)F CHEMBL3650410 7.89 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
COc1cc2C(CC(C)c2cc1Br)N[C@@H]3CC[C@](C3)(C(C)C)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417233 7.89 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
FC(F)(F)c1ccnc(c1)N2C[C@@H]3C[C@H]2CN3C(=O)[C@@]45CCC[C@@H]4C[C@H](C5)N6CCC(CC6)c7ccccc7 CHEMBL3650394 7.82 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
Cc1cc(Oc2ccc(cc2)C(=O)NCCN3CCCCC3)c(NS(=O)(=O)c4ccc(Cl)c(c4)C(F)(F)F)cc1Cl CHEMBL1924015 7.8 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(Cl)c(c6)C(F)(F)F CHEMBL3650391 7.77 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
CO[C@@H]1COCC[C@@H]1N(C)[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(Cl)c(c6)C(F)(F)F CHEMBL3650396 7.68 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3ccc(C)cc23)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417121 7.64 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
OCCNC(=O)c1ccccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3 CHEMBL1169660 7.6 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
CO[C@@H]1COCC[C@@H]1N(C)[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ccc(C#N)c(c6)C(F)(F)F CHEMBL3650401 7.5 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
CO[C@@H]1COCC[C@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6cc(ccn6)C(F)(F)F CHEMBL3650346 7.5 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
COc1ccc(OC)c2C(CCc12)N[C@@H]3CC[C@](C3)(C(C)C)C(=O)N4CCc5ccc(cc5C4)C(F)(F)F CHEMBL3417216 7.31 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 7.3 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
Oc1ccc2[nH]cc(C3CCN(CCCCCNC(=O)\C=C\c4ccc(Cl)c(Cl)c4)CC3)c2c1 CHEMBL432713 7.3 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
OC(=O)c1ccccc1Oc2ccc(cc2NS(=O)(=O)c3ccc(Cl)cc3)C#N CHEMBL1169652 7.2 CHEMBL1174375 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2010_20_13_3961
COc1ccc(cc1)c2ccc3C(CCc3c2)N[C@@H]4CC[C@](C4)(C(C)C)C(=O)N5CCc6ccc(cc6C5)C(F)(F)F CHEMBL3417224 7.13 CHEMBL3418234 B C-C:chemokine:receptor:type:2 Eur._J._Med._Chem._2015_93__121
Clc1ccc(Cn2nnnc2C3CC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL2207080 7 CHEMBL2213075 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
Clc1ccc(cc1)S(=O)(=O)Nc2cc(Cl)ccc2Cn3ccnn3 CHEMBL2207087 7 CHEMBL2213079 B C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2012_22_23_7252
CN(Cc1ccc(NC(=O)C2=Cc3cc(ccc3CCC2)c4ccc(C)cc4)cc1)C5CCOCC5 CHEMBL131243 6.98 CHEMBL651928 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
Clc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL299153 6.37 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Cc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL50025 6.26 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
FC(F)(F)c1cccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)c1 CHEMBL50460 6.1 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1cnc(Oc2ccccc2C(=O)NCCN3CCCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924010 6.1 CHEMBL1925695 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 6.07 CHEMBL856950 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
O=C(NCCCCCN1CCC(CC1)c2c[nH]c3ccccc23)\C=C\c4ccccc4 CHEMBL53402 6.06 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
O=C(NCCCCCN1CCC(CC1)c2c[nH]c3ccccc23)\C=C\c4ccccc4 CHEMBL53402 6.06 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1cnc(Oc2cccc(c2)C(=O)NCCN3CCCC3)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c1 CHEMBL1924008 6 CHEMBL1925745 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2011_21_24_7291
CO[C@@H]1COCC[C@@H]1N[C@@H]2C[C@H]3CCC[C@]3(C2)C(=O)N4C[C@@H]5C[C@H]4CN5c6ncc(cc6Cl)C(F)(F)F CHEMBL3650377 5.98 CHEMBL3706065 B C-C:chemokine:receptor:type:2 _2014
CN(C)c1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL49994 5.92 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
CC(C)(C)c1ccc(cc1)S(=O)(=O)\C=C\C#N CHEMBL270299 5.79 CHEMBL1909124 B C-C:chemokine:receptor:type:2 
Clc1ccc(NC(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL300025 5.79 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Clc1ccc(\C=C\C(=O)NCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1Cl CHEMBL297950 5.6 CHEMBL946042 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2008_18_4_1450
Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1 CHEMBL134074 5.6 CHEMBL651924 B C-C:chemokine:receptor:type:2 J._Med._Chem._2003_46_19_4070
S=C=Nc1cccc2ccccc12 CHEMBL1381098 5.59 CHEMBL1909124 B C-C:chemokine:receptor:type:2 
Oc1ccc(\C=C\C(=O)NCCCCCN2CCC(CC2)c3c[nH]c4ccccc34)cc1 CHEMBL50301 5.2 CHEMBL655688 F C-C:chemokine:receptor:type:2 Bioorg._Med._Chem._Lett._2000_10_16_1803
